id;category_affiliation_probability_flag;id_2009_A_and_A_498_961_R;binary_system_component;icrs_ra;icrs_ra_error;icrs_dec;icrs_dec_error;gal_longitude;gal_latitude;alpha;delta;B;B_error;B_quality;B_uncertainty_flag;B-V;B-V_error;B-V_quality;B-V_uncertainty_flag;b-y;b-y_error;b-y_quality;b-y_uncertainty_flag;B1;B1_error;B1_quality;B1_uncertainty_flag;B1-B2;B1-B2_error;B1-B2_quality;B1-B2_uncertainty_flag;B2;B2_error;B2_quality;B2_uncertainty_flag;B2-G;B2-G_error;B2-G_quality;B2-G_uncertainty_flag;BP;BP_error;BP_quality;BP_uncertainty_flag;c1;c1_error;c1_quality;c1_uncertainty_flag;D;D_error;D_quality;D_uncertainty_flag;D(V1-G);D(V1-G)_error;D(V1-G)_quality;D(V1-G)_uncertainty_flag;Delta;Delta_error;Delta_quality;Delta_uncertainty_flag;Delta a;Delta a_error;Delta a_quality;Delta a_uncertainty_flag;g';g'_error;g'_quality;g'_uncertainty_flag;G;G_error;G_quality;G_uncertainty_flag;H;H_error;H_quality;H_uncertainty_flag;Hp;Hp_error;Hp_quality;Hp_uncertainty_flag;Hβ;Hβ_error;Hβ_quality;Hβ_uncertainty_flag;i';i'_error;i'_quality;i'_uncertainty_flag;J;J_error;J_quality;J_uncertainty_flag;K;K_error;K_quality;K_uncertainty_flag;m1;m1_error;m1_quality;m1_uncertainty_flag;r';r'_error;r'_quality;r'_uncertainty_flag;RP;RP_error;RP_quality;RP_uncertainty_flag;U;U_error;U_quality;U_uncertainty_flag;U-B;U-B_error;U-B_quality;U-B_uncertainty_flag;U-B1;U-B1_error;U-B1_quality;U-B1_uncertainty_flag;U-B2;U-B2_error;U-B2_quality;U-B2_uncertainty_flag;V;V_error;V_quality;V_uncertainty_flag;V-I;V-I_error;V-I_quality;V-I_uncertainty_flag;V1;V1_error;V1_quality;V1_uncertainty_flag;V1-G;V1-G_error;V1-G_quality;V1-G_uncertainty_flag;VM;VM_error;VM_quality;VM_uncertainty_flag;X;X_error;X_quality;X_uncertainty_flag;Y;Y_error;Y_quality;Y_uncertainty_flag;Z;Z_error;Z_quality;Z_uncertainty_flag
974;;7830;;69.7566112;0.027;-75.1027763;0.028;287.7938511;-34.445155;04 39 01.586;-75 06 10.18;10.078;0.017;;;;;;;0.909;;;;-0.556;;;;1.465;;;;-0.538;;;;10.0605;0.148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
975;*;7560;;69.7760881;0.06;7.8709863;0.03;188.9951401;-24.7580619;04 39 06.149;+07 52 15.57;5.955;0.11;;;0.257;0.009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
976;*;7550;;69.788594;0.293;15.7995535;0.113;182.0760927;-20.0686466;04 39 09.217;+15 47 59.70;6.352;0.405;;;0.141;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
977;;7606;;69.8485306;0.012;-15.9823996;0.01;213.3749698;-36.2759321;04 39 23.657;-15 58 56.37;9.216;0.0;;;;;;;;;;;;;;;;;;;;;;;9.0448;0.424;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
978;;7600;;70.0142494;0.082;12.1975581;0.038;185.3061487;-22.0530856;04 40 03.415;+12 11 51.35;;;;;-0.121;0.009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
979;;7640;;70.0633221;0.013;-27.7352106;0.016;227.6599505;-39.7088627;04 40 15.190;-27 44 06.13;9.194;0.021;;;0.342;0.015;;;;;;;;;;;;;;;;;;;9.0016;0.468;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
980;;7680;;70.094832;0.012;-44.7356242;0.014;249.9916201;-41.5356123;04 40 22.754;-44 44 08.56;10.091;0.001;;;;;;;0.996;;;;-0.38;;;;1.376;;;;-0.287;;;;9.5793;0.263;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
981;?;7670;;70.1396342;0.074;-41.8640876;0.093;246.1564141;-41.4963947;04 40 33.746;-41 51 49.53;;;;;0.342;0.011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
982;;7660;A;70.1602444;0.012;-40.4248427;0.014;244.2377958;-41.4291364;04 40 38.441;-40 25 28.90;10.288;0.001;;;;;;;0.97;;;;-0.429;;;;1.399;;;;-0.321;;;;9.6709;0.494;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
983;?;7620;;70.1638893;0.021;8.679273;0.012;188.5079807;-23.9810896;04 40 39.328;+08 40 45.34;12.565;0.043;;;-0.02;0.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
984;?;7500;;70.2064626;0.031;57.8795752;0.029;149.7751307;7.5197821;04 40 49.537;+57 52 46.75;7.503;0.0;;;0.125;0.009;;;;;;;;;;;;;;;;;;;7.319;0.171;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
985;;7780;;70.2782729;0.016;-64.4427754;0.015;275.3868045;-38.1792617;04 41 06.776;-64 26 34.14;10.201;0.113;;;0.287;0.032;;;;;;;;;;;;;;;;;;;9.5806;0.196;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
986;;7590;;70.3922676;0.018;44.4965642;0.015;159.9408341;-1.2147225;04 41 34.142;+44 29 47.71;;;;;0.3;;;;0.881;;;;-0.566;;;;1.447;;;;-0.18;;;;8.6066;0.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
987;?;7700;;70.5147469;0.041;-37.1433849;0.051;239.9171723;-40.9108452;04 42 03.481;-37 08 39.54;;;;;0.391;0.017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
988;;7720;;70.5420738;0.042;-38.5493673;0.05;241.7741221;-41.0160359;04 42 10.096;-38 32 57.38;;;;;;;;;;;;;;;;;;;;;;;;;8.866;0.293;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
989;;7658;A;70.5939512;0.186;-0.9299929;0.107;197.7800672;-28.8457282;04 42 22.570;-00 55 47.68;;;;;0.407;0.007;;;;;;;;;;;;;;;;;;;6.8582;0.421;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
990;?;7647;;70.6372356;0.016;24.8647722;0.009;175.1584699;-13.8172368;04 42 32.930;+24 51 53.23;12.531;0.13;;;;;;;;;;;;;;;;;;;;;;;11.5185;0.119;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
991;;7690;;70.7515767;0.035;1.1078664;0.02;195.8945308;-27.6544268;04 43 00.380;+01 06 28.46;8.134;0.027;;;-0.079;0.013;;;0.829;;;;-0.721;;;;1.55;;;;-0.72;;;;8.263;0.061;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
992;;7940;;70.7666513;0.061;-70.9308731;0.064;282.9692436;-35.8343599;04 43 03.948;-70 55 51.79;;;;;-0.114;0.004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
993;;7710;;70.8949171;0.017;-8.794435;0.013;205.9625928;-32.3663596;04 43 35.163;-08 47 46.30;;;;;0.645;0.007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
994;?;7730;;70.9409859;0.018;-10.6821856;0.016;208.0025771;-33.1556233;04 43 45.823;-10 40 56.05;8.403;0.0;;;0.685;0.011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
995;;7740;;71.0298362;0.016;-0.9441926;0.01;198.0476847;-28.478299;04 44 07.161;-00 56 38.97;10.287;0.032;;;;;;;;;;;;;;;;;;;;;;;10.2353;0.064;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
996;;7810;;71.1284089;0.015;-44.4185103;0.017;249.5593021;-40.8030336;04 44 30.807;-44 25 06.93;10.111;0.001;;;;;;;0.943;;;;-0.498;;;;1.441;;;;-0.518;;;;9.7654;0.244;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
997;;7747;;71.1786276;0.039;3.2081388;0.025;194.1523;-26.1778882;04 44 42.880;+03 12 29.30;8.649;0.0;;;;;;;;;;;;;;;;;;;;;;;8.4546;0.068;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
998;;7630;;71.2409893;0.017;59.877234;0.017;148.5870361;9.2211718;04 44 57.836;+59 52 38.11;;;;;0.201;0.02;;;;;;;;;;;;;;;;;;;9.1765;0.011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
999;;7770;;71.4966219;0.02;23.9167991;0.008;176.4242853;-13.8019801;04 45 59.200;+23 55 00.67;10.305;0.409;;;;;;;;;;;;;;;;;;;;;;;9.7887;0.169;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1000;*;7790;;71.507552;0.065;11.7055506;0.032;186.6547912;-21.1563259;04 46 01.736;+11 42 20.09;;;;;0.197;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1001;;7808;;71.5650518;0.045;-9.8442874;0.038;207.4227306;-32.2385274;04 46 15.612;-09 50 39.78;10.421;0.039;;;;;;;;;;;;;;;;;;;;;;;10.109;0.218;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1002;;7890;;71.6625195;0.014;-42.0927503;0.019;246.506321;-40.3720964;04 46 39.003;-42 05 34.20;;;;;;;;;;;;;;;;;;;;;;;;;7.7623;0.148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1003;;7850;A;71.7120965;0.055;-21.6879199;0.06;220.7886139;-36.6025525;04 46 50.870;-21 41 16.67;10.135;0.0;;;0.397;0.027;;;;;;;;;;;;;;;;;;;9.3979;0.061;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1004;;7900;;71.8169507;0.014;-35.6986628;0.018;238.1964057;-39.7011829;04 47 16.029;-35 41 55.05;10.191;0.0;;;;;;;;;;;;;;;;;;;;;;;9.389;0.323;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1005;;8090;A;71.8943478;0.213;-79.8072303;0.351;292.6253104;-31.9932952;04 47 34.792;-79 48 25.99;;;;;0.362;0.015;;;;;;;;;;;;;;;;;;;7.9596;0.071;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1006;;7873;;71.9186224;0.029;-9.2565995;0.022;206.981565;-31.6668351;04 47 40.477;-09 15 23.81;9.298;0.1;;;;;;;;;;;;;;;;;;;;;;;9.0855;0.148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1007;*;7760;;72.001566;0.08;56.756552;0.059;151.2713423;7.5341896;04 48 00.283;+56 45 25.97;;;;;0.246;0.003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1008;;7750;A;72.051372;0.018;59.2410173;0.015;149.3487711;9.1325898;04 48 12.382;+59 14 27.73;;;;;0.332;0.007;;;0.897;;;;-0.386;;;;1.283;;;;-0.294;;;;7.5835;0.319;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1009;?;7800;;72.1274743;0.017;48.2407355;0.013;157.882588;2.1341943;04 48 30.584;+48 14 26.91;9.341;0.0;;;;;;;;;;;;;;;;;;;;;;;9.3672;0.213;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1010;*;7970;;72.1604831;0.012;-49.1699533;0.014;255.7654796;-39.9480007;04 48 38.518;-49 10 11.86;9.565;0.703;;;0.31;0.016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1011;?;7880;;72.1724579;0.015;10.8673003;0.008;187.7920451;-21.1056861;04 48 41.390;+10 52 02.26;;;;;0.36;0.028;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1012;?;7820;;72.2222915;0.034;43.2755717;0.025;161.7267037;-1.0098673;04 48 53.326;+43 16 31.98;;;;;0.423;0.019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1013;*;7870;;72.3167484;0.237;29.5712623;0.117;172.3881654;-9.6908596;04 49 16.002;+29 34 16.92;7.69;0.285;;;0.065;0.012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1014;*;7860;;72.3295978;0.043;32.5880383;0.018;170.0278382;-7.7780234;04 49 19.056;+32 35 17.49;;;;;0.25;0.007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1015;?;7980;;72.3347761;0.084;-42.4136627;0.105;246.9517045;-39.887723;04 49 20.387;-42 24 49.21;7.41;0.0;;;0.199;0.002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1016;;7920;;72.361091;0.014;10.9883906;0.007;187.7989948;-20.8844974;04 49 26.666;+10 59 18.10;9.386;0.039;;;0.332;0.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1017;;7942;;72.3883267;0.648;2.2017458;0.402;195.8138149;-25.6877022;04 49 33.193;+02 12 06.45;7.7;0.0;;;-0.06;0.002;;;0.843;;;;-0.689;;;;1.532;;;;-0.694;;;;7.7337;0.085;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1018;;8020;;72.4981166;0.012;-63.1649341;0.013;273.4903009;-37.5858904;04 49 59.546;-63 09 53.94;9.597;0.04;;;;;;;;;;;;;;;;;;;;;;;9.4114;0.226;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1019;;7910;A;72.7701491;0.02;44.9688132;0.013;160.6782491;0.3766843;04 51 04.848;+44 58 07.89;;;;;0.263;0.015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1020;;8000;;72.7721753;0.012;-43.8760307;0.014;248.8666168;-39.6174572;04 51 05.292;-43 52 33.94;9.992;0.394;;;0.345;0.005;;;0.989;;;;-0.395;;;;1.384;;;;-0.262;;;;9.4809;0.363;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1021;;7930;;72.775025;0.049;43.8466173;0.033;161.5446592;-0.3365331;04 51 06.011;+43 50 47.81;9.94;0.0;;;0.1;;;;0.875;;;;-0.625;;;;1.5;;;;-0.447;;;;9.7407;0.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1022;;7960;;72.8379943;0.019;9.5988202;0.009;189.311026;-21.2854278;04 51 21.114;+09 35 55.89;10.289;0.049;;;0.27;;;;;;;;;;;;;;;;;;;;10.0895;0.047;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1023;?;7950;;72.8439846;0.644;18.8396983;0.246;181.376851;-15.9086321;04 51 22.442;+18 50 23.18;6.778;0.001;;;0.214;0.007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1024;;7983;;72.8683642;0.02;-0.5466303;0.014;198.7144052;-26.6926586;04 51 28.379;-00 32 48.00;8.107;0.0;;;0.273;0.003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1025;;17350;;73.096337;0.013;-89.2738025;0.015;302.2213021;-27.486956;04 52 21.028;-89 16 26.02;;;;;0.26;0.015;;;;;;;;;;;;;;;;;;;8.9467;0.498;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1026;;8030;;73.109677;0.01;-50.0527262;0.01;256.8619731;-39.2816116;04 52 26.288;-50 03 09.86;11.299;0.01;;;;;;;;;;;;;;;;;;;;;;;10.9323;0.352;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1027;;8010;A;73.3008326;0.014;-20.7721587;0.015;220.3100745;-34.9052447;04 53 12.211;-20 46 19.64;;;;;0.184;0.007;;;0.95;;;;-0.489;;;;1.439;;;;-0.47;;;;7.0896;0.124;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1028;;8160;;73.3666583;0.087;-72.7648662;0.073;284.7125154;-34.4252788;04 53 27.970;-72 45 53.40;;;;;0.237;0.002;;;0.97;;;;-0.435;;;;1.405;;;;-0.397;;;;7.4108;0.161;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1029;;8060;;73.37135;0.024;-53.6573618;0.031;261.4710723;-38.8223173;04 53 29.137;-53 39 26.43;10.536;0.098;;;0.05;;;;;;;;;;;;;;;;;;;;10.5056;0.071;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1030;;7985;;73.4099738;0.017;41.8278121;0.011;163.4002222;-1.2584358;04 53 38.400;+41 49 40.18;11.529;0.026;;;;;;;;;;;;;;;;;;;;;;;11.2688;0.152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1031;?;7945;;73.4158096;0.053;61.4815256;0.043;147.9964688;11.0567009;04 53 39.751;+61 28 54.56;;;;;0.203;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1032;;7990;;73.5274726;0.017;39.5900061;0.011;165.1937766;-2.6010689;04 54 06.567;+39 35 24.25;;;;;;;;;;;;;;;;;;;;;;;;;9.2155;0.285;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
