id;category_affiliation_probability_flag;id_2009_A_and_A_498_961_R;binary_system_component;icrs_ra;icrs_ra_error;icrs_dec;icrs_dec_error;gal_longitude;gal_latitude;alpha;delta;Gaia DR2_proper_motion_ra;Gaia DR2_proper_motion_ra_error;Gaia DR2_proper_motion_dec;Gaia DR2_proper_motion_dec_error;Gaia DR2_parallax;Gaia DR2_parallax_error;Hipparcos_proper_motion_ra;Hipparcos_proper_motion_ra_error;Hipparcos_proper_motion_dec;Hipparcos_proper_motion_dec_error;Hipparcos_parallax;Hipparcos_parallax_error;Gaia DR3_proper_motion_ra;Gaia DR3_proper_motion_ra_error;Gaia DR3_proper_motion_dec;Gaia DR3_proper_motion_dec_error;Gaia DR3_parallax;Gaia DR3_parallax_error
44;?;140;;3.3915186;0.023;-29.5758139;0.016;14.3458432;-81.3189055;00 13 34.011;-29 34 32.49;-33.086;0.1;-27.38;0.07;2.739;0.062;-32.71;0.025;-27.405;0.019;2.799;0.026;-32.95;1.13;-27.93;0.53;1.78;0.89
45;?;150;;3.5094514;0.032;33.2059587;0.023;113.9892348;-29.0155246;00 14 02.279;+33 12 21.77;-7.902;0.134;-18.433;0.1;9.756;0.0804;-8.266;0.047;-18.59;0.033;9.987;0.043;-9.13;0.4;-19.29;0.18;9.69;0.35
46;*;160;;3.517049;0.055;-0.033412;0.044;103.0715957;-61.4558099;00 14 04.065;-00 02 00.20;25.322;0.17;-11.344;0.102;4.5238;0.0831;25.238;0.072;-11.519;0.051;4.215;0.066;26.69;1.42;-10.12;0.77;2.21;1.4
47;?;170;;3.6779521;0.016;64.5661255;0.017;119.0001729;1.9751043;00 14 42.715;+64 33 58.10;-0.721;0.057;-4.669;0.051;1.8394;0.0356;-0.715;0.02;-4.811;0.021;1.781;0.022;-4.46;0.75;-5.4;0.68;1.14;0.73
48;;180;;3.7331229;0.035;22.2841781;0.027;111.9180364;-39.8055815;00 14 55.896;+22 17 03.13;44.515;0.106;-10.424;0.138;7.1181;0.0861;44.339;0.048;-10.735;0.041;7.199;0.047;45.09;0.41;-10.8;0.26;7.1;0.4
49;?;190;;3.774532;0.019;-17.2586368;0.014;80.6712537;-77.0429555;00 15 05.879;-17 15 31.15;12.489;0.153;-2.565;0.079;2.0805;0.0639;12.386;0.021;-2.74;0.015;2.219;0.021;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
50;;210;;3.7833271;0.06;-29.0063601;0.055;17.6223788;-81.7764311;00 15 07.969;-29 00 23.09;21.351;0.145;7.37;0.127;3.6396;0.0877;22.294;0.071;8.157;0.069;3.081;0.073;24.34;1.71;6.95;0.87;2.84;1.29
51;?;200;;3.8417156;0.016;45.529735;0.01;116.342896;-16.8800299;00 15 22.004;+45 31 47.24;5.922;0.08;-5.466;0.049;1.8798;0.0645;5.714;0.016;-5.591;0.013;2.028;0.021;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
52;?;220;;3.8525067;0.025;-13.0545011;0.019;90.2469078;-73.5957379;00 15 24.564;-13 03 15.93;31.396;0.12;-14.865;0.07;4.7543;0.0575;31.336;0.036;-14.925;0.022;4.774;0.027;31.73;0.92;-14.81;0.44;4.9;0.89
53;;230;A;4.0227993;0.027;8.1154224;0.019;108.0353518;-53.73087;00 16 05.412;+08 06 56.01;50.401;0.191;-26.111;0.085;8.7685;0.0989;50.279;0.034;-26.404;0.025;9.112;0.033;51.35;0.7;-25.21;0.4;8.83;0.69
54;;240;A;4.0899211;0.023;43.5949485;0.017;116.232897;-18.8200554;00 16 21.531;+43 35 42.35;35.595;0.087;-22.878;0.049;10.1622;0.0606;35.421;0.025;-23.037;0.023;10.235;0.033;35.12;0.51;-23.14;0.31;9.39;0.61
55;;250;;4.1319658;0.01;64.413776;0.011;119.1727928;1.7971255;00 16 31.705;+64 24 49.64;-10.092;0.05;-1.347;0.042;1.9336;0.0317;-10.124;0.013;-1.442;0.015;1.914;0.014;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
56;?;270;A;4.2725989;0.307;38.68157;0.136;115.6187543;-23.7019496;00 17 05.496;+38 40 53.91;-45.418;0.422;-16.624;0.259;15.6852;0.3827;-57.551;0.307;-14.795;0.155;18.875;0.425;-49.35;0.82;-17.65;0.52;10.56;0.96
57;?;273;;4.3049198;0.038;-14.1091978;0.028;89.7196498;-74.7293559;00 17 13.172;-14 06 32.94;10.24;0.159;-7.718;0.104;0.8125;0.0911;10.057;0.04;-7.858;0.035;0.75;0.052;9.37;1.41;-8.3;0.92;-0.61;1.39
58;;260;;4.3823018;0.017;76.1453927;0.016;120.8522297;13.4107485;00 17 31.770;+76 08 43.63;0.389;0.079;-14.335;0.059;3.7825;0.0427;0.159;0.021;-14.586;0.021;3.776;0.019;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
59;;275;;4.4231362;0.026;73.637661;0.026;120.5194726;10.9241763;00 17 41.480;+73 38 15.35;11.852;0.065;16.833;0.051;4.0639;0.0397;12.436;0.031;16.281;0.034;4.175;0.03;12.51;0.86;16.28;0.72;4.67;0.87
60;?;310;;4.524942;0.011;-83.0613149;0.012;304.1420729;-33.9884317;00 18 05.791;-83 03 40.69;25.942;0.039;7.24;0.043;4.0247;0.0219;26.028;0.016;7.051;0.017;4.058;0.013;26.5;0.92;6.13;0.84;3.02;0.87
61;?;300;;4.7066854;0.012;-59.4739068;0.013;310.566633;-57.1683303;00 18 49.615;-59 28 25.94;-1.71;0.052;-3.169;0.049;2.1638;0.0313;-1.562;0.016;-3.345;0.017;2.231;0.016;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
62;?;280;;4.7375716;0.038;63.2882058;0.037;119.290631;0.6463732;00 18 56.897;+63 17 17.67;48.078;0.104;-6.924;0.081;5.4853;0.0745;47.724;0.05;-6.948;0.046;5.475;0.053;47.61;0.61;-8.29;0.61;5.55;0.67
63;;290;;4.7947845;0.025;66.1469107;0.026;119.6736136;3.4794516;00 19 10.723;+66 08 48.83;9.013;0.107;0.334;0.099;1.9178;0.0615;9.192;0.031;-0.013;0.038;1.721;0.033;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
64;?;320;;4.8538826;0.02;-37.7589306;0.016;333.2893457;-77.416505;00 19 24.918;-37 45 32.12;8.052;0.069;1.136;0.048;1.8713;0.0431;7.986;0.023;1.4;0.036;1.84;0.028;8.65;0.96;0.82;0.78;0.67;1.14
65;?;308;;4.8817192;0.033;43.891007;0.023;116.8739467;-18.6050652;00 19 31.624;+43 53 27.70;-5.644;0.085;-3.959;0.052;0.6791;0.0648;-5.732;0.04;-4.195;0.03;0.583;0.048;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
