id;category_affiliation_probability_flag;id_2009_A_and_A_498_961_R;binary_system_component;icrs_ra;icrs_ra_error;icrs_dec;icrs_dec_error;gal_longitude;gal_latitude;alpha;delta;HDE_id;Gaia DR2_id;TYC_id;Hipparcos_id;Gaia DR3_id
456;;3655;;34.9940704;0.061;-19.0615653;0.058;195.9783067;-68.1422355;02 19 58.538;-19 03 41.77;5131173965125605248;5131173965125605248;14494;-99.99;5861-428-1
457;;3670;;35.007278;0.009;-39.5238219;0.01;252.5367371;-67.8249449;02 20 01.736;-39 31 25.78;4963609939241646720;4963609939241646720;14549;10880;7551-1019-1
458;;3600;;35.0533169;0.03;64.3369918;0.039;132.3612676;3.102754;02 20 12.821;+64 20 12.97;515160406379886976;515160406379886976;14171;10893;4054-1936-1
459;*;3620;;35.2427826;0.095;50.1513554;0.131;137.2868192;-10.2083159;02 20 58.201;+50 09 05.44;355656522274764288;355656522274764288;14392;10944;3302-908-1
460;;3640;;35.2611508;0.038;42.9438816;0.036;139.8888602;-16.9580886;02 21 02.668;+42 56 38.23;339388182588332288;339388182588332288;14437;10951;2839-214-1
461;;3660;;35.3334668;0.017;28.0710512;0.018;146.0370044;-30.7359945;02 21 20.026;+28 04 15.98;106880883932078720;106880883932078720;14522;-99.99;1773-211-1
462;;3650;A;35.3984875;0.035;44.5999294;0.028;139.3747233;-15.3742638;02 21 35.656;+44 35 59.65;351998996843113344;351998996843113344;14477;10985;2843-1459-1
463;/;3630;;35.4809763;0.01;57.2429112;0.014;134.9669745;-3.4992785;02 21 55.434;+57 14 34.47;458456358355233920;458456358355233920;14433;11020;3694-1623-1
464;;3672;;35.5426291;0.023;37.4188326;0.023;142.2250212;-22.0302545;02 22 10.223;+37 25 08.28;328585274687068672;328585274687640704;-99.99;-99.99;2322-1440-1
465;;3680;;35.6385119;0.034;16.8702414;0.03;152.2188096;-40.7629292;02 22 33.210;+16 52 13.28;79597052644565504;79597052644565504;14688;11075;1215-971-1
466;;3720;;35.7279706;0.02;-51.0918329;0.02;273.2749653;-60.4432669;02 22 54.658;-51 05 31.75;4746011090546864640;4746011090546864640;14943;11102;8055-993-1
467;?;3674;;35.8497556;0.012;56.8542164;0.014;135.2902126;-3.7946741;02 23 23.917;+56 51 15.35;458388188632487040;458388188632487040;14581;11146;3694-1973-1
468;?;3684;;36.123772;0.01;57.7191489;0.012;135.125765;-2.9326499;02 24 29.648;+57 43 09.19;458498689553672576;458498689553672576;14720;-99.99;3694-301-1
469;?;3790;;36.2239813;0.053;-60.3125318;0.061;283.7894866;-53.2037426;02 24 53.940;-60 18 43.12;4725779526839408128;4725779526839408128;15233;11258;-99.99
470;?;3695;;36.3498736;0.009;59.1284533;0.011;134.7381394;-1.5724532;02 25 23.973;+59 07 42.48;459233094597185664;459233094597185664;-99.99;-99.99;-99.99
471;?;3700;A;36.3584526;0.035;58.2020848;0.03;135.071403;-2.4368905;02 25 25.961;+58 12 09.00;458890077033113856;458890077033113856;14825;11291;3698-2770-1
472;?;3710;;36.476017;0.015;53.3694;0.017;136.8648157;-6.9275437;02 25 54.241;+53 22 09.99;455464724648716416;455464724648716416;14884;-99.99;3686-808-1
473;*;3770;;36.5012392;0.04;-15.3414939;0.04;189.5304986;-65.0777262;02 26 00.360;-15 20 28.48;5145812553700068992;5145812553700068992;15144;11348;5860-2588-1
474;;3750;;36.7127373;0.028;37.5504428;0.026;143.0968729;-21.5568871;02 26 51.065;+37 33 01.73;328636019723252096;328636019723252096;15082;11397;2831-594-1
475;;3740;;36.7488306;0.012;46.8217164;0.015;139.4522688;-12.9619423;02 26 59.715;+46 49 18.16;353741100000747008;353741100000747008;-99.99;-99.99;3295-1357-1
476;;3800;;36.8143052;0.019;-3.2633794;0.016;170.9020334;-56.9261781;02 27 15.454;-03 15 48.10;2490362573846453504;2490362573846453504;15244;-99.99;4694-530-1
477;;4080;;36.8213362;0.012;-82.0194568;0.012;299.0150383;-34.3663037;02 27 16.910;-82 01 10.37;4619601991047872256;4619601991047872256;16323;-99.99;9361-19-1
478;;3840;;36.9636095;0.036;-0.7893049;0.043;168.2445994;-54.9438639;02 27 51.202;-00 47 22.21;2499956259475287296;2499956259475287296;15306;-99.99;4691-330-1
479;;3865;;37.0919222;0.018;-5.2820537;0.016;173.8344045;-58.2225852;02 28 22.022;-05 16 55.20;2488713340764461184;2488713340764461184;15368;-99.99;4697-878-1
480;;3820;;37.1128346;0.016;32.1701804;0.017;145.7663636;-26.3641355;02 28 27.048;+32 10 13.42;132766857983882752;132766857983882752;-99.99;-99.99;2327-1863-1
481;;3780;;37.1749795;0.008;60.3757332;0.011;134.6759446;-0.2592403;02 28 42.007;+60 22 32.69;465312912858365824;465312912858365824;-99.99;-99.99;4046-97-1
482;;3810;;37.1824845;0.159;41.9317819;0.154;141.659211;-17.3747587;02 28 43.779;+41 55 54.48;338721431865100416;338721431865100416;15269;11536;2839-2094-1
483;?;3785;;37.2485803;0.009;59.0317563;0.009;135.2038385;-1.4957904;02 28 59.660;+59 01 54.44;459031746529200512;459031746529200512;-99.99;-99.99;3699-1501-1
484;*;3760;A;37.2661786;0.076;67.402416;0.093;132.1237502;6.2896005;02 29 03.941;+67 24 08.46;517650349234855424;517650349234855424;15089;11569;4058-1504-1
485;?;3830;;37.2747987;0.014;45.5342383;0.016;140.2953838;-14.0193338;02 29 05.969;+45 32 03.21;341601014162611456;341601014162611456;15304;-99.99;3295-1147-1
486;;3850;A;37.2813506;0.039;37.3296528;0.028;143.6365363;-21.5833825;02 29 07.487;+37 19 46.89;328448213690447232;328448213690447232;15333;11573;2335-437-1
487;*;3870;;37.3074286;0.032;23.4689309;0.031;150.2420623;-34.1645351;02 29 13.674;+23 28 08.54;101580688130237824;101580688130237824;15385;11578;1766-1511-1
488;;3880;;37.3460564;0.018;-7.070326;0.017;176.6211305;-59.3062673;02 29 23.033;-07 04 13.16;5178403212218764928;5178403212218764928;15476;-99.99;4697-198-1
489;?;3990;;37.4235873;0.034;-73.2593884;0.031;293.6518586;-42.052361;02 29 41.592;-73 15 33.78;4643663909668311040;4643663909668311040;16002;-99.99;9150-1200-1
490;?;3890;;37.4810067;0.015;-22.6832082;0.02;207.1015719;-67.2695719;02 29 55.353;-22 40 59.52;5126313642694732672;5126313642694732672;15588;11622;6433-830-1
491;;3970;;37.5159984;0.014;-70.9147287;0.012;291.9899647;-44.0584056;02 30 03.789;-70 54 53.10;4645230576298626944;4645230576298626944;15978;11628;9147-1222-1
492;;3950;;37.5341387;0.011;-60.3314855;0.011;282.9477059;-52.7981231;02 30 08.176;-60 19 53.44;4725743552193415296;4725743552193415296;15811;11638;8858-300-1
493;;3960;;37.566121;0.011;-65.7874166;0.01;287.9778208;-48.3711044;02 30 15.856;-65 47 14.88;4696593265557737344;4696593265557737344;15893;-99.99;8864-542-1
494;?;3860;;37.6029398;0.012;57.63944;0.013;135.892638;-2.7202688;02 30 24.714;+57 38 22.01;458071735442608640;458071735442608640;15357;-99.99;3695-316-1
495;?;3900;;37.6881192;0.051;0.2555225;0.031;168.075586;-53.6762548;02 30 45.200;+00 15 20.59;2500505225015253504;2500505225015253504;15633;11687;46-1634-1
496;;3910;A;37.8743099;0.027;1.094128;0.025;167.4378456;-52.9064386;02 31 29.868;+01 05 39.18;2500621360930896384;2500621360930896384;15695;11737;46-690-1
497;;3930;A;37.8903218;0.078;-27.5044678;0.09;219.7020748;-67.7951205;02 31 33.613;-27 30 16.44;5070063654313922176;5070063654313922176;15783;11744;6436-1750-1
498;;3920;;38.0071892;0.024;-3.8241758;0.021;173.1944046;-56.5376982;02 32 01.694;-03 49 26.88;2489356520706916608;2489356520706916608;-99.99;-99.99;4701-644-1
499;?;3884;;38.035883;0.009;59.0790584;0.01;135.5618845;-1.3008317;02 32 08.615;+59 04 44.57;459008411966177536;459008411966177536;-99.99;-99.99;3699-2166-1
500;;3940;;38.093922;0.022;-0.3090623;0.018;169.2132642;-53.8529023;02 32 22.532;-00 18 32.25;2500180147530535936;2500180147530535936;15790;-99.99;4698-467-1
501;;3955;;38.1908073;0.085;1.4746104;0.086;167.4539419;-52.4116746;02 32 45.793;+01 28 28.56;2502887621899189504;2502887621899189504;15820;-99.99;46-467-1
502;;4030;;38.3156475;0.024;-57.0258189;0.025;278.8146705;-55.0738833;02 33 15.679;-57 01 33.14;4738748678806361600;4738748678806361600;16124;11882;8487-240-1
503;?;4006;B;38.458086;0.012;-28.2336032;0.02;221.7017252;-67.3461711;02 33 49.969;-28 14 01.14;5069213736122001664;5069213736122001664;16046B;11918;6436-2247-1
504;?;3913;;38.4973072;0.009;58.7927424;0.011;135.8913819;-1.4744958;02 33 59.351;+58 47 33.96;458238753827401344;458238753827401344;-99.99;-99.99;3699-414-1
505;;4110;;38.5288367;0.021;-74.0233024;0.017;293.8091371;-41.235905;02 34 06.864;-74 01 24.18;4643384461916249216;4643384461916249216;16530;11944;9150-1113-1
506;?;3952;;38.7060818;0.016;59.0811687;0.018;135.8792058;-1.1668503;02 34 49.469;+59 04 52.35;464999101067429504;464999101067429504;-99.99;-99.99;3699-2151-1
507;;4060;;38.7676395;0.022;-17.2894836;0.023;195.9857473;-64.1431421;02 35 04.203;-17 17 22.33;5133132057895653760;5133132057895653760;16145;12023;5860-1417-1
508;;3980;;38.8082723;0.037;40.5966518;0.034;143.3933203;-18.1150414;02 35 13.993;+40 35 48.13;335356032930942336;335356032930942336;15980;12042;2836-1247-1
509;;4100;;38.8405008;0.019;-68.1610667;0.02;289.3324354;-46.1267737;02 35 21.701;-68 09 40.00;4695139505027517312;4695139505027517312;16504;12051;9144-1500-1
510;;4000;;38.8663516;0.077;39.6642282;0.06;143.8403562;-18.946747;02 35 27.903;+39 39 51.74;335057859121122432;335057859121122432;16004;12057;2836-1871-1
511;?;4090;;39.016525;0.033;-47.0826595;0.035;264.1109033;-61.390109;02 36 03.943;-47 04 57.78;4945020530510815360;4945020530510815360;16372;-99.99;8050-422-1
512;;4040;;39.0912452;0.098;35.5359862;0.136;145.8649106;-22.6200497;02 36 21.936;+35 32 09.72;327253972264040064;327253972264040064;16127;-99.99;2332-233-1
513;;4020;;39.0996169;0.026;46.6030846;0.029;141.0629901;-12.5404967;02 36 23.884;+46 36 11.24;341943305874966784;341943305874966784;-99.99;-99.99;3295-1289-1
514;;4010;;39.1707568;0.013;55.890401;0.018;137.3604306;-4.0048314;02 36 40.980;+55 53 25.55;454676031208402688;454676031208402688;-99.99;-99.99;3691-132-1
515;;4070;A;39.2122293;0.035;-3.5699454;0.03;174.4333933;-55.5220476;02 36 50.930;-03 34 11.91;2495326280434592512;2495326280434592512;16305;12171;4701-1000-1
516;;4050;;39.3631929;0.011;55.6690998;0.015;137.5480621;-4.1650157;02 37 27.183;+55 40 09.00;454294603761479040;454294603761479040;236977;-99.99;3691-574-1
517;?;4200;;40.1110255;0.02;-14.4491331;0.02;191.9016694;-61.6369103;02 40 26.571;-14 26 57.00;5158087707671142656;5158087707671142656;16723;12460;5291-1045-1
518;;4096;;40.1395379;0.014;56.2714049;0.018;137.7029468;-3.4386351;02 40 33.488;+56 16 16.97;454702178976636928;454702178976636928;16460;-99.99;3708-1323-1
519;*;4120;;40.1539324;0.033;44.0911768;0.027;142.822655;-14.5233823;02 40 36.939;+44 05 28.42;340663066320950144;340663066320950144;16545;12478;2857-1664-1
520;?;4130;;40.1629205;0.022;40.1170256;0.018;144.5909312;-18.1171594;02 40 39.087;+40 07 01.35;335126716037307264;335126716037307264;16566;-99.99;2849-1519-1
521;;4140;;40.2455882;0.06;42.8712475;0.051;143.4198295;-15.600474;02 40 58.938;+42 52 16.58;337169505562029568;337169505562029568;16605;-99.99;2853-866-1
522;;4150;A;40.2958735;0.031;42.6781525;0.029;143.5398728;-15.7595031;02 41 11.003;+42 40 41.39;337164214162384000;337164214162384000;16627;-99.99;2853-2201-1
523;;4230;A;40.340091;0.096;4.4275392;0.071;167.1967423;-48.7648513;02 41 21.606;+04 25 39.88;5922077001986176;5922077001986176;16763;12540;50-615-1
524;;4260;;40.3651347;0.016;-16.7833767;0.017;196.5211341;-62.5520991;02 41 27.640;-16 47 00.24;5132763206104212352;5132763206104212352;16828;12550;5863-834-1
525;;4290;;40.3735461;0.01;-37.7902098;0.012;244.6655661;-64.5803808;02 41 29.630;-37 47 24.93;4952794283877196288;4952794283877196288;16903;-99.99;7559-351-1
526;?;4172;A;40.3959797;0.016;47.3561066;0.014;141.5703357;-11.4902596;02 41 34.949;+47 21 22.54;438033101657751552;438033101657751552;16642;12565;3300-1026-1
527;;4180;;40.4864313;0.032;42.7897861;0.034;143.6217672;-15.5987675;02 41 56.741;+42 47 23.30;337165829070036608;337165829070036608;16693;-99.99;2853-679-1
528;?;4190;;40.4935079;0.035;42.791819;0.029;143.6257343;-15.5947053;02 41 58.439;+42 47 30.68;337165932149250176;337165932149250176;16705;-99.99;2853-22-1
529;?;4143;;40.5082388;0.009;58.8078274;0.009;136.8406643;-1.044839;02 42 01.990;+58 48 28.22;464196839839536512;464196839839536512;-99.99;-99.99;3712-1263-1
530;;4220;A;40.5547296;0.034;42.6991916;0.032;143.7091735;-15.6590814;02 42 13.156;+42 41 57.48;337152875448699392;337152875448699392;16728;12619;2853-1013-1
531;;4170;;40.5644849;0.02;56.5654382;0.025;137.7963235;-3.0739282;02 42 15.439;+56 33 55.71;454800825784834560;454800825784834560;16641;12624;3708-1387-1
532;;4294;;40.5781078;0.02;-16.0213556;0.021;195.2704637;-62.0190446;02 42 18.692;-16 01 17.10;5132965237070406912;5132965237070406912;16912;12630;5863-1032-1
533;?;4250;;40.61856;0.035;40.2556935;0.037;144.8578368;-17.8415852;02 42 28.432;+40 15 21.01;335146575966201088;335146575966201088;16772B;12645;2849-481-1
534;?;4224;;40.6725121;0.017;50.4639564;0.018;140.4126442;-8.5932739;02 42 41.393;+50 27 50.34;450969921111635072;450969921111635072;16736;12662;3304-1473-1
535;*;4210;;40.7620969;0.037;55.1059219;0.055;138.5059198;-4.3549845;02 43 02.828;+55 06 21.71;454385485266854016;454385485266854016;16727;12692;3704-1333-1
536;;4270;;40.8979053;0.04;43.537865;0.054;143.5686812;-14.7943605;02 43 35.374;+43 32 16.60;337589725162376448;337589725162376448;16855;12725;2857-800-1
537;;4310;;40.9212975;0.122;21.1469789;0.11;155.1452558;-34.6089516;02 43 41.089;+21 08 49.64;88399845815696256;88399845815696256;16956;12733;1229-406-1
538;;4440;;40.9914113;0.022;-78.367106;0.018;296.0749221;-37.2198335;02 43 57.894;-78 22 01.65;4632733664576746240;4632733664576746240;17782;12757;9366-888-1
539;;4330;;41.1074504;0.02;-12.9952386;0.02;190.4066098;-60.049282;02 44 25.783;-12 59 42.37;5158697180710238080;5158697180710238080;-99.99;-99.99;5292-608-1
540;?;4314;;41.1251165;0.023;28.0148896;0.025;151.3512622;-28.5445561;02 44 29.984;+28 00 54.06;127148009968227584;127148009968227584;17008;12799;1776-36-1
541;;4280;;41.19296;0.083;55.7398958;0.109;138.4610936;-3.6769658;02 44 46.332;+55 44 23.77;454436784355707008;454436784355707008;16900;12816;3704-195-1
542;;4240;;41.2072762;0.021;67.8244889;0.03;133.3409133;7.2741555;02 44 49.709;+67 49 28.70;517534664294712960;517534664294712960;16769;12821;4312-1404-1
543;?;4320;;41.2368302;0.224;10.1139617;0.201;163.2561781;-43.6936339;02 44 56.556;+10 06 51.05;21859669845327488;21859669845327488;17094;12828;-99.99
544;;4300;A;41.2649877;0.014;57.1358885;0.018;137.9051903;-2.3954698;02 45 03.597;+57 08 09.56;454844771890362112;454844771890362112;16932;-99.99;3708-1101-1
545;?;5640;;41.5864824;0.013;-87.9121209;0.012;301.7852329;-28.9544783;02 46 20.671;-87 54 43.70;4612188224660704000;4612188224660704000;22336;12931;9499-1295-1
546;*;4490;;41.6673743;0.066;-77.5210007;0.059;295.3535296;-37.8590606;02 46 40.237;-77 31 15.67;4632988029719886464;4632988029719886464;18006;12958;9366-126-1
547;;4420;;41.6940152;0.02;-69.0831705;0.019;288.8958132;-44.7711496;02 46 46.604;-69 04 59.24;4647031159732050048;4647031159732050048;17732;-99.99;9145-1893-1
548;;4720;;41.789448;0.07;-83.9116831;0.06;299.4476369;-32.4135164;02 47 09.578;-83 54 42.47;4616961170276264960;4616961170276264960;18840;-99.99;9491-494-1
549;;4360;;41.8669127;0.021;21.3452481;0.02;155.936496;-33.9854053;02 47 28.024;+21 20 43.25;85506446607383296;85506446607383296;17317;13029;1229-647-1
550;;4350;;41.8871274;0.019;33.6363444;0.018;149.0240259;-23.2860328;02 47 32.885;+33 38 10.87;139709414920105856;139709414920105856;17282;-99.99;2329-1179-1
551;;4370;A;41.9108548;0.035;29.6784994;0.03;151.1270893;-26.7552042;02 47 38.598;+29 40 42.66;128904067476795392;128904067476795392;17330;13047;1793-58-1
552;;4340;;41.9786594;0.023;44.2062594;0.029;143.987895;-13.851631;02 47 54.864;+44 12 22.80;337711530435320960;337711530435320960;17280;13062;2857-1245-1
553;;4380;;42.1915589;0.168;25.1880412;0.13;153.9067291;-30.5340559;02 48 45.890;+25 11 17.06;114312345585489792;114312345585489792;17471;13121;1785-603-1
554;;4376;;42.3268056;0.015;45.2604198;0.015;143.7303907;-12.7982412;02 49 18.411;+45 15 37.96;433857431370492800;433857431370492800;17431;-99.99;3297-2136-1
555;;4160;;42.3512623;0.018;81.4292847;0.019;127.3986127;19.5994645;02 49 24.329;+81 25 45.67;568787780346022912;568787780346665728;-99.99;13172;4520-578-1
556;?;4413;;42.4155426;0.03;1.0685212;0.029;172.9768779;-49.9549804;02 49 39.742;+01 04 06.90;2499151893704574336;2499151893704574336;-99.99;-99.99;-99.99
557;;4410;;42.5980105;0.097;32.848022;0.097;150.0033774;-23.6961624;02 50 23.519;+32 50 52.80;136600923749774208;136600923749774208;17595;13237;2329-834-1
558;;4390;;42.6698062;0.013;44.3587933;0.015;144.3717826;-13.4925325;02 50 40.723;+44 21 31.73;433757715116129152;433757715116129152;17568;13266;2858-122-1
559;;4570;;42.873268;0.017;-74.4053459;0.015;292.7814221;-40.2685052;02 51 29.563;-74 24 19.45;4640684542394866944;4640684542394866944;18364;-99.99;9151-727-1
560;?;4460;;42.9247905;0.066;1.2573547;0.072;173.3512806;-49.4689004;02 51 41.943;+01 15 26.61;2499181756612722560;2499181756612722560;-99.99;-99.99;48-322-1
561;;4400;;42.9408978;0.025;58.3142855;0.029;138.1985789;-0.9452297;02 51 45.886;+58 18 51.48;461022721567517056;461022721567517056;17581;13347;3712-1696-1
562;?;4470;A;42.9699109;0.026;2.9136758;0.022;171.6948363;-48.2209489;02 51 52.768;+02 54 49.15;1546639198757760;1546639198757760;17835;-99.99;51-146-1
563;?;4480;A;43.259154;0.02;39.9201708;0.015;146.9054948;-17.2241953;02 53 02.187;+39 55 12.48;335694918734166144;335694918734166144;-99.99;-99.99;2850-263-1
564;;4430;;43.4956202;0.016;61.885048;0.018;136.8386926;2.3680874;02 53 58.854;+61 53 06.21;466485129696174464;466485129696174464;17775;13507;4052-1664-1
565;;4670;;43.5748964;0.017;-73.4527605;0.015;291.832019;-40.9207473;02 54 18.011;-73 27 09.93;4640799063402678784;4640799063402678784;18610;13534;9151-114-1
566;;4680;;43.5813907;0.015;-75.8323386;0.012;293.6723631;-39.0041459;02 54 19.457;-75 49 56.00;4639233079670723712;4639233079670723712;18727;-99.99;9362-146-1
567;;4510;;43.6116171;0.021;-20.9251017;0.023;207.1731894;-61.3129753;02 54 26.803;-20 55 29.83;5079490733867393536;5079490733867393536;18166;13545;5870-718-1
568;;4530;;43.7065491;0.088;-33.5248012;0.113;234.0602647;-62.725294;02 54 49.552;-33 31 29.61;5051970885538540544;5051970885538540544;18252;13569;7015-457-1
569;?;4550;;44.0310795;0.027;3.2036831;0.027;172.5672421;-47.291957;02 56 07.468;+03 12 13.38;1614048710332416;1614053005633024;-99.99;-99.99;51-1499-1
570;;4566;;44.1197795;0.017;-15.0200033;0.023;196.7098728;-58.5348416;02 56 28.748;-15 01 10.70;5157235620519075072;5157235620519075072;18346;13705;5864-858-1
571;*;4500;;44.1333577;0.021;56.1781984;0.026;139.7444487;-2.5549996;02 56 32.014;+56 10 41.41;459767388524499712;459767388524499712;18078;13712;3705-489-1
572;;4520;;44.2943975;0.015;43.0787092;0.018;146.0561739;-14.0764363;02 57 10.633;+43 04 43.83;432653878456978560;432653878456978560;-99.99;-99.99;2854-1633-1
573;?;4600;;44.3036825;0.016;-29.8553005;0.024;226.0761401;-62.3151852;02 57 12.895;-29 51 18.99;5065109121776915328;5065109121778224768;18466;13768;6443-644-1
574;*;4560;;44.3220165;0.125;31.9340867;0.09;151.8792932;-23.7698003;02 57 17.278;+31 56 03.30;135525184764395776;135525184764395776;18296;13775;2330-2043-1
575;;4587;;44.3495216;0.032;-23.8623282;0.041;213.4646699;-61.4633653;02 57 23.771;-23 51 43.71;5078091055566935296;5078091055566935296;18454;13782;6437-957-1
576;?;4555;;44.4966116;0.013;49.8780008;0.014;142.8919437;-8.025382;02 57 59.178;+49 52 40.99;439448860319343232;439448860319343232;18279;13829;3305-500-1
577;?;4620;;44.5701276;0.019;-1.3870736;0.018;178.0555949;-50.1693337;02 58 16.815;-01 23 13.32;5187905088626656896;5187905088626656896;-99.99;-99.99;-99.99
578;;4540;;44.5973284;0.017;59.2116551;0.02;138.5522933;0.2455086;02 58 23.361;+59 12 42.16;461500218852033280;461500218852033280;237040;-99.99;3713-1099-1
579;?;4644;;44.6654833;0.036;-4.2087751;0.031;181.5074631;-51.9776589;02 58 39.712;-04 12 31.50;5185973830812212608;5185973830812212608;18530;13872;4703-759-1
580;;4650;;44.697046;0.052;-9.7765697;0.053;189.0078432;-55.3394091;02 58 47.299;-09 46 35.75;5173126346679474432;5173126346679474432;18557;13883;5287-1077-1
581;?;4730;;44.6993868;0.084;-64.0712652;0.099;282.8519069;-47.7890765;02 58 47.814;-64 04 16.67;4720282071779657600;4720282071779657600;18866;13884;8862-1490-1
582;?;4790;;44.7056046;0.016;-73.7855159;0.014;291.7660315;-40.462603;02 58 49.269;-73 47 08.13;4640729205758796800;4640729205758796800;19098;-99.99;9151-757-1
583;?;4630;B;44.8029484;0.278;21.3403956;0.159;158.6927288;-32.5136102;02 59 12.719;+21 20 25.09;108589696800254464;108589696800254464;18519;13914;1230-1424-2
584;?;4640;A;44.8029484;0.278;21.3403956;0.159;158.6927288;-32.5136102;02 59 12.719;+21 20 25.09;108589696800254464;108589696800254464;18520;13914;1230-1424-1
585;;4660;;44.8897265;0.023;3.5175456;0.02;173.1707687;-46.4776389;02 59 33.527;+03 31 03.33;2015099871749760;2015099871749760;18597;13937;51-832-1
586;;4580;A;44.9386862;0.011;54.3291224;0.014;141.0177135;-3.9740694;02 59 45.278;+54 19 45.00;453362282319136640;453362282319136640;18410;13958;3701-181-1
587;;4590;;45.1020286;0.014;56.3134803;0.016;140.1567807;-2.1831757;03 00 24.416;+56 18 48.57;459804600123057920;459804600123057920;18460;14013;3709-652-1
588;;4930;;45.1536716;0.012;-81.9021044;0.011;297.7310182;-33.8770575;03 00 37.080;-81 54 07.31;4618969428264480256;4618969428264480256;19918;14026;9374-525-1
589;;4610;;45.2241034;0.015;59.6658811;0.024;138.6186599;0.7963935;03 00 53.787;+59 39 57.61;461536090419421056;461536090419421056;18473;14049;3713-827-1
590;;4710;;45.408171;0.057;2.1682714;0.051;175.0832353;-47.0890402;03 01 37.965;+02 10 05.84;915553884118144;915553884118144;18806;14087;55-541-1
591;*;4690;;45.4755174;0.065;26.462377;0.039;156.0241965;-27.8984339;03 01 54.146;+26 27 44.43;115302421446877184;115302421446877184;18769;14109;1790-1709-1
592;*;4850;;45.5647601;0.06;-71.9023815;0.058;289.9278348;-41.76359;03 02 15.449;-71 54 09.04;4645479443883933824;4645479443883933824;19400;14131;9148-1834-1
593;?;4760;;45.5971968;0.073;-23.6247173;0.102;213.5390319;-60.2974071;03 02 23.538;-23 37 28.12;5077970830840299520;5077970830842019584;18978;14146;6438-1110-1
594;;4780;;45.7374589;0.012;-30.9499421;0.017;228.452182;-61.1068663;03 02 56.978;-30 56 59.73;5052749374130515840;5052749374130515840;19049;14190;7019-575-1
595;?;4768;;45.9434458;0.026;0.6974319;0.024;177.1873583;-47.7390915;03 03 46.424;+00 41 50.76;3266759276458753280;3266759276458753280;-99.99;-99.99;-99.99
596;?;4770;;45.9505699;0.019;1.6418859;0.021;176.1927528;-47.0765384;03 03 48.143;+01 38 30.85;638992350084352;638992350084352;-99.99;-99.99;55-501-1
597;;4740;;45.9592582;0.016;46.6217395;0.015;145.3486316;-10.4067693;03 03 50.213;+46 37 18.34;434234834441743488;434234834441743488;-99.99;-99.99;3310-1808-1
598;;4750;;46.0191393;0.015;42.0351673;0.016;147.7262976;-14.3624883;03 04 04.594;+42 02 06.67;240165122264530944;240165122264530944;-99.99;-99.99;2855-478-1
599;;4793;;46.0563665;0.019;-8.4644882;0.022;188.4665399;-53.4891027;03 04 13.472;-08 27 52.48;5179322610097951488;5179322610097951488;19108;-99.99;5294-319-1
600;;4840;;46.1188635;0.012;-58.4036601;0.012;275.697837;-51.1053019;03 04 28.530;-58 24 13.70;4726801557257370880;4726801557257370880;19397;14304;8498-341-1
601;/;4800;;46.6342234;0.031;33.6252249;0.027;152.7270426;-21.3151229;03 06 32.198;+33 37 30.92;136153525596820224;136153525596820224;19216;14450;2343-83-1
602;?;4820;;46.6403223;0.024;2.9377638;0.02;175.5601842;-45.6751629;03 06 33.664;+02 56 15.81;1040417173443200;1040417173443200;-99.99;-99.99;58-1131-1
603;;4855;;46.9537517;0.014;-13.966002;0.014;197.3547342;-55.6165684;03 07 48.911;-13 57 57.36;5155962111176562816;5155962111176562816;19513;-99.99;5300-980-1
604;?;4834;C;47.056063;0.033;40.939913;0.031;148.9942046;-14.9083156;03 08 13.449;+40 56 23.88;239112378537488256;239112378537488256;19356C;-99.99;-99.99
605;;4830;;47.3401253;0.022;58.7568987;0.026;140.0083136;0.5352018;03 09 21.635;+58 45 25.23;460487465561417344;460487465561417344;19342;14653;3714-238-1
606;?;4900;;47.3422934;0.016;-48.9626848;0.016;261.7268555;-55.648839;03 09 22.112;-48 57 45.79;4750218199991533440;4750218199991533440;19817;14656;8061-1181-1
607;;4810;;47.3509007;0.012;60.4396131;0.015;139.1646195;1.9912657;03 09 24.226;+60 26 22.62;462979302507491968;462979302507491968;-99.99;-99.99;4049-744-1
608;;5286;;47.4738345;0.08;-83.5314561;0.068;298.58581;-32.3844493;03 09 53.801;-83 31 53.63;4618483684643367424;4618483684643367424;21190;14700;9491-1447-1
609;;4880;;47.5753916;0.033;-1.6947504;0.03;181.4696178;-48.1353325;03 10 18.085;-01 41 41.02;3265197076594241664;3265197076594241664;19712;14736;4708-1424-1
610;?;4885;;47.6013459;0.026;-13.3756704;0.02;196.9636665;-54.7831221;03 10 24.313;-13 22 32.50;5156378478190319744;5156378478190319744;19762;-99.99;5300-443-1
611;?;5090;;47.8327541;0.014;-74.4619329;0.014;291.4713252;-39.3959246;03 11 19.806;-74 27 43.19;4639794281573460736;4639794281573460736;20443;-99.99;9151-1622-1
612;?;4700;A;47.9264689;0.023;81.4707125;0.02;128.136472;20.0538032;03 11 42.630;+81 28 14.58;568421574254377728;568421574254377728;18778;14844;4520-1237-1
613;;4920;;48.0285077;0.019;-0.0901587;0.016;180.1216712;-46.7393051;03 12 06.838;-00 05 24.50;3266042738474980480;3266042738474980480;19910;-99.99;4708-925-1
614;*;4910;;48.0594183;0.054;27.2568869;0.053;157.6757217;-25.9550374;03 12 14.248;+27 15 25.08;118591610481186688;118591610481186688;19832;14893;1791-1519-1
