id;category_affiliation_probability_flag;id_2009_A_and_A_498_961_R;binary_system_component;icrs_ra;icrs_ra_error;icrs_dec;icrs_dec_error;gal_longitude;gal_latitude;alpha;delta;HDE_id;Gaia DR2_id;TYC_id;Hipparcos_id;Gaia DR3_id
36;;70;;2.2506963;0.027;28.2475157;0.023;111.69144;-33.6963235;00 09 00.162;+28 14 51.22;2860078031611441152;2860078031611441152;434;728;1735-1440-1
37;?;90;;2.5288488;0.046;-26.2156382;0.034;36.2388518;-80.7263216;00 10 06.922;-26 12 56.48;2335246080444203520;2335246080444203520;-99.99;-99.99;6415-1033-1
38;?;80;;2.5542995;0.029;25.5267587;0.026;111.3597126;-36.4170062;00 10 13.036;+25 31 36.22;2850340206879295872;2850340206879295872;573;835;1732-1341-1
39;;100;;2.7161998;0.036;40.5775474;0.025;114.6580863;-21.6414708;00 10 51.888;+40 34 39.28;383248285535601024;383248285535601024;653;-99.99;2786-379-1
40;?;110;;2.8692826;0.017;-26.2536739;0.015;36.2656993;-81.0340179;00 11 28.634;-26 15 11.62;2335236704531616768;2335236704531616768;719;-99.99;6416-403-1
41;;113;;2.919619;0.02;0.1220968;0.014;101.9897377;-61.1226149;00 11 40.680;+00 07 19.44;2546225083161183104;2546225083161183104;728;-99.99;2-229-1
42;?;120;;3.0567661;0.032;-18.995415;0.023;72.950998;-77.8653709;00 12 13.618;-18 59 43.54;2366119512254803072;2366119512254803072;-99.99;-99.99;5842-603-1
43;*;130;;3.3037334;0.021;62.0407925;0.021;118.467833;-0.4992074;00 13 12.722;+62 02 27.14;429778586841759104;429778586841759104;861;1063;4018-687-1
44;?;140;;3.3915186;0.023;-29.5758139;0.016;14.3458432;-81.3189055;00 13 34.011;-29 34 32.49;2320328735608092800;2320328735608092800;923;1088;6419-677-1
45;?;150;;3.5094514;0.032;33.2059587;0.023;113.9892348;-29.0155246;00 14 02.279;+33 12 21.77;2863577296085970816;2863577296085970816;952;1123;2264-770-1
46;*;160;;3.517049;0.055;-0.033412;0.044;103.0715957;-61.4558099;00 14 04.065;-00 02 00.20;2545413265623606272;2545413265623878400;965;1127;4664-318-1
